"HRUGIS";"HRU";"HRU_AREA";"linE_AREA";"LULC_SQ";"margin_SQ";"LULC_int";"margin_int";"LULC_ext";"margin_ext";"margintotal_SQ";"margintotal_int";"margintotal_ext"
90061;756;85001;0.14157;"PAST";434.586457142857;"PAST";434.586457142857;"PASE";112.11016;3713.94544169086;3713.94544169086;958.0855796488
90062;757;106136;0.11475;"PAST";447.460218857143;"PAST";447.460218857143;"PASE";108.323058857143;4786.817556279;4786.817556279;1158.813002889
90066;761;110921;0;"PAST";457.82862;"PAST";457.82862;"PASE";117.271752;5036.11482;5036.11482;1289.989272
90077;772;237944;0.525915;"M105";333.389621075353;"PAST";444.7355;"PASE";104.792482285714;7992.7111137783;10662.1266795175;2512.3038776787
90080;775;62854;0.14212;"M103";180.874578931036;"PAST";341.64648;"PASE";50.6310577142857;1149.97886789406;2172.1473222624;321.906189220503
186;NA;969016;NA;NA;NA;NA;NA;NA;NA;29809.5926091394;42336.8365608626;10417.3677805325
187;NA;856029;NA;NA;NA;NA;NA;NA;NA;26333.8022814989;37400.3730220746;9202.70555264461
188;NA;889747;NA;NA;NA;NA;NA;NA;NA;27371.0605348146;38873.5307977555;9565.18956407889
189;NA;658510;NA;NA;NA;NA;NA;NA;NA;20257.5755498819;28770.6603850645;7079.2854371429
190;NA;892776;NA;NA;NA;NA;NA;NA;NA;27464.2408909832;39005.8694567073;9597.75270752258
191;NA;635613;NA;NA;NA;NA;NA;NA;NA;19553.2009657972;27770.2779902082;6833.13215373907
192;NA;890253;NA;NA;NA;NA;NA;NA;NA;27386.6264840458;38895.6382132159;9570.62929685621
193;NA;504629;NA;NA;NA;NA;NA;NA;NA;16679.2915229834;22394.271839218;5465.34202133267
194;NA;596045;NA;NA;NA;NA;NA;NA;NA;19700.8263809981;26451.1032033567;6455.41533503868
